      97 text files.
classified 97 files
      97 unique files.                              
       0 files ignored.

github.com/AlDanial/cloc v 1.88  T=0.16 s (611.7 files/s, 70214.3 lines/s)
----------------------------------------------------------------------------------------------------------------------
File                                                                               blank        comment           code
src/main/java/cn/sj1/tinyasm/ClassHeader.java                                          16              2             34
src/main/java/cn/sj1/tinyasm/WithAnnotation.java                                       13              0             34
src/main/java/cn/sj1/tinyasm/WithDefineParameter.java                                  11              0             34
src/main/java/cn/sj1/tinyasm/WithDefineField.java                                      12              0             32
src/main/java/cn/sj1/tinyasm/WithDefineStaticField.java                                12              0             32
src/main/java/cn/sj1/tinyasm/WithInvoke.java                                           13              0             32
src/main/java/cn/sj1/tinyasm/WithThrow.java                                             6              0             26
src/main/java/cn/sj1/tinyasm/TinyAsmClassLoader.java                                    7              0             25
src/main/java/cn/sj1/tinyasm/WithDefineVar.java                                         9              0             23
src/main/java/cn/sj1/tinyasm/WithReturn.java                                            7              0             23
src/main/java/cn/sj1/tinyasm/LocalsVariable.java                                        8              0             19
src/main/java/cn/sj1/tinyasm/Field.java                                                 3              0             18
src/main/java/cn/sj1/tinyasm/ClassField.java                                            2              0             11
src/main/java/cn/sj1/tinyasm/MethodHeader.java                                          9              4              9
src/main/java/cn/sj1/tinyasm/TinyAsmBuilderContext.java                                 2              0              9
src/main/java/cn/sj1/commons/list/StringListMap.java                                    3              0              7
src/main/java/cn/sj1/tinyasm/FieldList.java                                             4              0              7
src/main/java/cn/sj1/tinyasm/TinyAsmProxyRuntimeReferNameObject.java                    4              0              5
src/main/java/cc1sj/tinyasm/Naming.java                                                1              0              4
----------------------------------------------------------------------------------------------------------------------
SUM:                                                                                2002           1270           7863
----------------------------------------------------------------------------------------------------------------------
